"Customer_Name","Product_Name","Profit","Returned"
"Tamara Willingham","Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection","17.766","null"
"Tamara Willingham","Jabra BIZ 2300 Duo QD Duo Corded Headset","15.2388","null"
"Stephanie Phelps","Southworth 25% Cotton Antique Laid Paper & Envelopes","26.271","null"
"Stephanie Phelps","Xerox 1883","48.5392","null"
"Stephanie Phelps","Tenex Personal Project File with Scoop Front Design, Black","21.0288","null"
"Neil Knudson","Newell 311","1.7901","null"
"Dave Brooks","Global Deluxe High-Back Manager's Chair","51.4764","null"
"Ted Trevino","Xerox 1920","2.691","null"
"Ruben Dartt","Staples","13.348","null"
"Max Jones","Wilson Jones International Size A4 Ring Binders","9.688","null"
"Chad Sievert","Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11","9.8418","null"
"Chad Sievert","Xerox 1913","53.2608","null"
"Chad Sievert","Global Value Steno Chair, Gray","21.259","null"
"Frank Merwin","SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card","22.984","null"
"Mary Zewe","Poly String Tie Envelopes","6.7116","null"
"Bruce Stewart","BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables","-161.875","Yes"
"Bruce Stewart","Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack","0.2925","Yes"
"Laurel Elliston","Nortel Business Series Terminal T7208 Digital phone","44.4768","null"
"Jonathan Howell","Personal Filing Tote with Lid, Black/Gray","26.0568","null"
"Jonathan Howell","Adtran 1202752G1","22.6782","null"
"David Bremer","Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)","4.752","null"
"Logan Haushalter","Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black","28.1372","null"
"Kelly Collister","Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page","3.5767","null"
"Kelly Collister","Logitech P710e Mobile Speakerphone","636.0003","null"
"Alan Hwang","Microsoft Sculpt Comfort Mouse","35.156","null"
"Kristen Hastings","Adjustable Depth Letter/Legal Cart","210.4936","null"
"Helen Andreada","Logitech 910-002974 M325 Wireless Mouse for Web Scrolling","92.3692","null"
"Helen Andreada","Regeneration Desk Collection","2.3232","null"
"Helen Andreada","Presstex Flexible Ring Binders","4.095","null"
"Barry Blumstein","Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled","4.0572","null"
"Barry Blumstein","Newell 330","1.5548","null"
"Jas O'Carroll","Bevis Round Bullnose 29"" High Table Top","51.942","null"
"Tracy Blumstein","Staples","47.844","null"
"Tracy Blumstein","Microsoft Arc Touch Mouse","47.96","null"
"Tracy Blumstein","Xerox 216","10.8864","null"
"Kelly Lampkin","Howard Miller 13"" Diameter Goldtone Round Wall Clock","78.8592","null"
"Kelly Lampkin","Global Deluxe Office Fabric Chairs","20.1558","null"
"Kelly Lampkin","Eldon ClusterMat Chair Mat with Cordless Antistatic Protection","-24.5646","null"
"Kelly Lampkin","Ibico Laser Imprintable Binding System Covers","-62.88","null"
"Kelly Lampkin","Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box","9.2988","null"
"Ben Peterman","C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings","3.5948","null"
"Ben Peterman","Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs","52.5114","null"
"Ben Peterman","Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany","1.7136","null"
"Ben Peterman","Avery 509","2.0358","null"
"Frank Atkinson","OIC Binder Clips","3.58","null"
"Grace Kelly","Ibico Laser Imprintable Binding System Covers","81.744","Yes"
"Grace Kelly","Logitech Wireless Headset h800","34.9965","Yes"
"Doug Bickford","Storex Dura Pro Binders","1.6038","null"
"Doug Bickford","Hewlett Packard LaserJet 3310 Copier","335.9944","null"
"Doug Bickford","Avery Non-Stick Binders","4.49","null"
"Alyssa Crouse","Tuff Stuff Recycled Round Ring Binders","2.7956","null"
"Alyssa Crouse","Hon 5100 Series Wood Tables","-17.4588","null"
"Ken Lonsdale","OIC Binder Clips, Mini, 1/4"" Capacity, Black","2.3312","null"
"Clay Cheatham","Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5","4.7976","null"
"Julia Dunbar","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","8.4784","null"
"Arthur Gainer","Wilson Jones Custom Binder Spines & Labels","-5.712","null"
"Arthur Gainer","NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router","179.1888","null"
"Arthur Gainer","Newell 324","0.924","null"
"Arthur Gainer","Microsoft Natural Keyboard Elite","-29.94","null"
"Alejandro Savely","Southworth Structures Collection","25.48","Yes"
"Alejandro Savely","Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""","17.3376","Yes"
"Jack Garza","Nortel Meridian M3904 Professional Digital phone","27.7182","null"
"Jack Garza","Canon PC1080F Personal Copier","701.9883","null"
"Victor Preis","Tuf-Vin Binders","25.5798","null"
"Keith Herrera","Sony 64GB Class 10 Micro SDHC R40 Memory Card","37.7895","null"
"Keith Herrera","Sharp AL-1530CS Digital Copier","434.9913","null"
"Keith Herrera","Wirebound Message Book, 4 per Page","13.3035","null"
"Keith Herrera","Bevis Round Conference Table Top, X-Base","-112.9527","null"
"Keith Herrera","Wirebound Service Call Books, 5 1/2"" x 4""","4.6464","null"
"Keith Herrera","Self-Adhesive Removable Labels","13.608","null"
"Keith Herrera","Xerox 1908","27.4302","null"
"Keith Herrera","O'Sullivan 4-Shelf Bookcase in Odessa Pine","31.4548","null"
"Keith Herrera","Novimex High-Tech Fabric Mesh Task Chair","-18.4548","null"
"Kimberly Carter","Xerox 191","65.7342","null"
"Kimberly Carter","Global Deluxe Office Fabric Chairs","26.8744","null"
"Caroline Jumper","Bulldog Vacuum Base Pencil Sharpener","25.8984","null"
"Philip Brown","Bevis Steel Folding Chairs","38.38","Yes"
"Sung Pak","American Pencil","2.7028","null"
"Sung Pak","White Envelopes, White Envelopes with Clear Poly Window","7.015","null"
"Joel Eaton","KeyTronic 6101 Series - Keyboard - Black","56.5662","null"
"Sanjit Chand","Global Geo Office Task Chair, Gray","-24.294","null"
"Joseph Holt","3M Office Air Cleaner","36.372","null"
"Joseph Holt","Logitech G700s Rechargeable Gaming Mouse","377.9622","null"
"Joseph Holt","Acco D-Ring Binder w/DublLock","18.6006","null"
"Tanja Norvell","Eldon Wave Desk Accessories","7.068","Yes"
"Tanja Norvell","Bush Advantage Collection Racetrack Conference Table","-814.4832","Yes"
"Tanja Norvell","Poly Designer Cover & Back","-20.889","Yes"
"Tanja Norvell","Premier Electric Letter Opener","-34.758","Yes"
"Tanja Norvell","Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote","5.8704","Yes"
"Jeremy Pistek","SAFCO Boltless Steel Shelving","3.4092","null"
"Jeremy Pistek","Sauder Mission Library with Doors, Fruitwood Finish","10.4784","null"
"Jeremy Pistek","Samsung Galaxy Note 3","87.996","null"
"Jeremy Pistek","Decoflex Hanging Personal Folder File, Blue","24.9804","null"
"Jeremy Pistek","Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""","28.819","null"
"Jeremy Pistek","Xerox 1912","45.528","null"
"Kristen Hastings","Cisco SPA525G2 IP Phone - Wireless","7.182","null"
"Xylona Preis","Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink","1.9089","null"
"Michelle Tran","Alphabetical Labels for Top Tab Filing","14.8","Yes"
"Michelle Tran","O'Sullivan Living Dimensions 2-Shelf Bookcases","-30.245","Yes"
"Michelle Tran","iHome FM Clock Radio with Lightning Dock","17.4975","Yes"
"Sonia Sunley","Sony Micro Vault Click 8 GB USB 2.0 Flash Drive","13.1572","null"
"Sanjit Chand","Clear Mylar Reinforcing Strips","40.3704","null"
"Sanjit Chand","Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock","81.8432","null"
"Sanjit Chand","DMI Arturo Collection Mission-style Design Wood Chair","18.1176","null"
"Sanjit Chand","Deflect-O Glasstique Clear Desk Accessories","22.869","null"
"Maribeth Yedwab","Vinyl Sectional Post Binders","-15.08","Yes"
"Maribeth Yedwab","GBC Standard Therm-A-Bind Covers","-11.9616","Yes"
"Maribeth Yedwab","Global Troy Executive Leather Low-Back Tilter","50.098","Yes"
"Maribeth Yedwab","Storex Flexible Poly Binders with Double Pockets","-1.9008","Yes"
"Maribeth Yedwab","White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11","11.8871","Yes"
"Bradley Nguyen","Newell 327","1.7901","null"
"Bradley Nguyen","Newell 317","1.7052","null"
"Alan Dominguez","Canon Image Class D660 Copier","1379.977","null"
"Alan Dominguez","Advantus Rolling Storage Box","13.8915","null"
"Alan Dominguez","Great White Multi-Use Recycled Paper (20Lb. and 84 Bright)","5.382","null"
"Alan Dominguez","Tennsco Single-Tier Lockers","56.301","null"
"Logan Haushalter","Motorola HK250 Universal Bluetooth Headset","-12.4146","null"
"Logan Haushalter","Imation 16GB Mini TravelDrive USB 2.0 Flash Drive","27.1666","null"
"Karen Bern","Safco Contoured Stacking Chairs","11.92","null"
"Jasper Cacioppo","Tenex Chairmats For Use With Carpeted Floors","2.397","null"
"Allen Armold","Sterilite Officeware Hinged File Box","1.4672","null"
"Erin Smith","LG Electronics Tone+ HBS-730 Bluetooth Headset","38.0864","Yes"
"Bill Donatelli","HON 5400 Series Task Chairs for Big and Tall","0","null"
"Dean Katz","Tennsco 16-Compartment Lockers with Coat Rack","310.9872","null"
"Olvera Toch","Avery 473","9.936","null"
"Olvera Toch","Bretford Just In Time Height-Adjustable Multi-Task Work Tables","-217.048","null"
"Olvera Toch","Xerox 226","15.552","null"
"Liz Pelletier","Coloredge Poster Frame","16.614","null"
"Liz Pelletier","GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb","27.3182","null"
"Jeremy Farry","Alliance Big Bands Rubber Bands, 12/Pack","0","null"
"Jeremy Farry","Avery 509","1.2006","null"
"Frank Preis","Cisco SPA301","46.797","Yes"
"Ellis Ballard","Personal Creations Ink Jet Cards and Labels","45.0016","null"
"Ellis Ballard","GBC White Gloss Covers, Plain Front","27.3672","null"
"Ellis Ballard","Xerox 222","9.3312","null"
"Ellis Ballard","Hon Every-Day Series Multi-Task Chairs","0","null"
"Sarah Foster","Newell 332","2.3814","null"
"Trudy Glocke","Personal Creations Ink Jet Cards and Labels","78.7528","null"
"Trudy Glocke","Rediform S.O.S. Phone Message Books","9.7608","null"
"Trudy Glocke","Acme Value Line Scissors","2.19","null"
"Charles Crestani","Martin-Yale Premier Letter Opener","1.5456","null"
"Dianna Vittorini","GE 30524EE4","52.9173","null"
"Dianna Vittorini","AT&T SB67148 SynJ","9.2386","null"
"Dianna Vittorini","Fellowes Basic Home/Office Series Surge Protectors","3.5046","null"
"Dianna Vittorini","Recycled Pressboard Report Cover with Reinforced Top Hinge","-4.7481","null"
"Dianna Vittorini","Jabra BIZ 2300 Duo QD Duo Corded Headset","30.4776","null"
"Zuschuss Carroll","i.Sound Portable Power - 8000 mAh","-20.1362","Yes"
"Zuschuss Carroll","Xerox 225","7.2576","Yes"
"Zuschuss Carroll","Clear Mylar Reinforcing Strips","-12.8961","Yes"
"Zuschuss Carroll","Xerox 1894","3.6288","Yes"
"Lena Radford","Fellowes Superior 10 Outlet Split Surge Protector","22.0748","null"
"Lena Radford","Sharp AL-1530CS Digital Copier","434.9913","null"
"Lena Radford","AT&T 1070 Corded Phone","55.745","null"
"Lena Radford","Dana Halogen Swing-Arm Architect Lamp","91.7728","null"
"Annie Thurman","Belkin Premiere Surge Master II 8-outlet surge protector","28.1764","null"
"Logan Currie","Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red","5.1435","null"
"Logan Currie","Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled","6.0858","null"
"Fred McMath","Tennsco Regal Shelving Units","-51.7191","Yes"
"Fred McMath","Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...","29.95","Yes"
"Fred McMath","Jabra SPEAK 410","30.0768","Yes"
"Max Engle","Premium Transparent Presentation Covers by GBC","-13.8468","null"
"Max Engle","Tripp Lite TLP810NET Broadband Surge for Modem/Fax","12.2328","null"
"Rick Bensley","Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base","272.792","Yes"
"Rick Bensley","Wilson Jones Turn Tabs Binder Tool for Ring Binders","5.0128","Yes"
"John Lee","Economy Rollaway Files","85.904","null"
"John Lee","Avery 480","12.6","null"
"Barry Blumstein","Staples","9.8625","null"
"Barry Blumstein","Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector","3.0144","null"
"Anthony Rawles","3M Hangers With Command Adhesive","6.068","null"
"Anthony Rawles","AT&T TR1909W","22.6782","null"
"Anthony Rawles","First Data FD10 PIN Pad","31.6","null"
"Alan Barnes","Imation Bio 8GB USB Flash Drive Imation Corp","24.936","null"
"Alan Barnes","Xerox 1977","16.032","null"
"Alejandro Savely","Tenex ""The Solids"" Textured Chair Mats","35.6796","null"
"Jay Kimmel","Laminate Occasional Tables","-13.8717","null"
"Dorris liebe","Cardinal Holdit Business Card Pockets","6.972","Yes"
"Christine Kargatis","GBC Standard Therm-A-Bind Covers","19.4376","null"
"Christine Kargatis","Aluminum Document Frame","21.996","null"
"Ross DeVincentis","Tops Green Bar Computer Printout Paper","73.41","null"
"Darrin Sayre","Carina Double Wide Media Storage Towers in Natural & Black","9.7176","null"
"Darrin Sayre","Logitech Illuminated - Keyboard","86.3856","null"
"Darrin Sayre","Wilson Jones Century Plastic Molded Ring Binders","33.6474","null"
"Darrin Sayre","Wilson Jones Leather-Like Binders with DublLock Round Rings","9.4284","null"
"Darrin Sayre","O'Sullivan Cherrywood Estates Traditional Bookcase","18.6956","null"
"Darrin Sayre","Acco Translucent Poly Ring Binders","6.552","null"
"Gary Zandusky","Logitech Wireless Touch Keyboard K400","8.4966","null"
"Maya Herman","KI Conference Tables","-28.356","null"
"Maya Herman","Fellowes Officeware Wire Shelving","7.1864","null"
"Yoseph Carroll","Hewlett Packard 610 Color Digital Copier / Printer","374.9925","null"
"Melanie Seite","12-1/2 Diameter Round Wall Clock","28.7712","null"
"Andrew Roberts","Xerox 226","27.9936","null"
"Nick Zandusky","Hon GuestStacker Chair","40.8006","Yes"
"Nick Zandusky","Xerox 191","28.1718","Yes"
"Nick Zandusky","Xerox 1974","11.7208","Yes"
"Nick Zandusky","Xerox 1927","1.926","Yes"
"Clay Ludtke","Heavy-Duty E-Z-D Binders","5.8914","null"
"Liz Thompson","Lifetime Advantage Folding Chairs, 4/Carton","34.8928","null"
"Erica Smith","Avery 499","4.5816","null"
"Erica Smith","Wirebound Message Book, 4 per Page","10.6428","null"
"Carlos Daly","Situations Contoured Folding Chairs, 4/Set","17.745","Yes"
"Helen Wasserman","Executive Impressions 14"" Contract Wall Clock","7.3359","null"
"Helen Wasserman","Logitech Mobile Speakerphone P710e - speaker phone","18.8972","null"
"Gary McGarr","Eldon Stackable Tray, Side-Load, Legal, Smoke","6.2152","null"
"Russell Applegate","Model L Table or Wall-Mount Pencil Sharpener","4.3176","null"
"Russell Applegate","ClearOne CHATAttach 160 - speaker phone","247.996","null"
"Zuschuss Carroll","Newell 32","3.2256","null"
"Zuschuss Carroll","Bevis Round Bullnose 29"" High Table Top","311.652","null"
"Zuschuss Carroll","Belkin F9G930V10-GRY 9 Outlet Surge","62.0368","null"
"Zuschuss Carroll","Sony 16GB Class 10 Micro SDHC R40 Memory Card","2.578","null"
"Pauline Johnson","Eldon Stackable Tray, Side-Load, Legal, Smoke","6.2152","null"
"Pauline Johnson","Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset","601.9699","null"
"Patrick Gardner","Kingston Digital DataTraveler 32GB USB 2.0","4.068","null"
"Patrick Gardner","Sony Micro Vault Click 16 GB USB 2.0 Flash Drive","40.3128","null"
"Eudokia Martin","Fellowes Binding Cases","11.7","null"
"Eudokia Martin","Ibico Plastic and Wire Spiral Binding Combs","8.7672","null"
"Eudokia Martin","Acme Preferred Stainless Steel Scissors","3.2944","null"
"Eudokia Martin","Avery 486","6.8714","null"
"Dave Poirier","DIXON Oriole Pencils","1.3416","null"
"Dave Poirier","Xerox 202","18.6624","null"
"Chuck Magee","Staples","0.1472","null"
"Chuck Magee","Deluxe Chalkboard Eraser Cleaner","10.626","null"
"Gary Zandusky","Binney & Smith Crayola Metallic Crayons, 16-Color Pack","5.9312","null"
"Jill Stevenson","Fellowes Black Plastic Comb Bindings","4.5318","Yes"
"Olvera Toch","Eldon Shelf Savers Cubes and Bins","1.6752","null"
"Cyma Kinney","Xerox 1987","16.9932","null"
"Pamela Coakley","File Shuttle I and Handi-File","42.0714","null"
"Pamela Coakley","Binding Machine Supplies","24.5028","null"
"Logan Currie","Xerox 1923","9.6192","Yes"
"Logan Currie","Fellowes Neat Ideas Storage Cubes","2.5984","Yes"
"Logan Currie","Xerox 1931","6.2208","Yes"
"Ruben Ausman","NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router","54.3966","null"
"Rachel Payne","Xerox 213","6.2208","null"
"Rachel Payne","Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection","34.9648","null"
"Karen Carlisle","Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book","8.0464","null"
"Rob Williams","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue","2.2098","null"
"Rob Williams","Bretford CR4500 Series Slim Rectangular Table","41.7852","null"
"John Lucas","Xerox 1894","15.552","null"
"John Lucas","Standard Rollaway File with Lock","140.5482","null"
"John Lucas","Avery Trapezoid Extra Heavy Duty 4"" Binders","62.91","null"
"Cynthia Arntzen","Bevis Boat-Shaped Conference Table","-204.4458","null"
"Joseph Airdo","Logitech B530 USB Headset - headset - Full size, Binaural","2.5893","null"
"Joseph Airdo","Avery Durable Slant Ring Binders","-3.168","null"
"Joseph Airdo","Universal Ultra Bright White Copier/Laser Paper, 8 1/2"" x 11"", Ream","5.6376","null"
"Daniel Lacy","Luxo Professional Combination Clamp-On Lamps","53.196","null"
"Lindsay Williams","Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black","28.1372","null"
"Cynthia Voltz","White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes","10.94","null"
"Tamara Dahlen","Wilson Jones Easy Flow II Sheet Lifters","-0.792","null"
"Tracy Zic","BIC Brite Liner Grip Highlighters, Assorted, 5/Pack","0.8056","null"
"Tracy Zic","Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)","55.9984","null"
"Tracy Zic","Global Airflow Leather Mesh Back Chair, Black","75.49","null"
"Roland Fjeld","Advantus SlideClip Paper Clips","4.9104","Yes"
"Roland Fjeld","Xerox 1979","69.705","Yes"
"Frank Merwin","Boston 16801 Nautilus Battery Pencil Sharpener","11.4452","null"
"Ryan Akin","Fellowes Super Stor/Drawer Files","92.0835","null"
"Meg Tillman","Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2","2.478","null"
"Meg Tillman","UniKeep View Case Binders","-3.5208","null"
"Vivek Gonzalez","Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear","27.3096","null"
"Philip Fox","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","46.575","null"
"Philip Fox","Project Tote Personal File","4.0687","null"
"John Stevenson","Bevis 36 x 72 Conference Tables","356.0414","Yes"
"John Stevenson","Enermax Acrylux Wireless Keyboard","36.852","Yes"
"Meg O'Connel","Xerox 216","15.552","null"
"Hallie Redmond","GBC Plastic Binding Combs","4.2804","null"
"Jennifer Jackson","Aluminum Screw Posts","13.734","null"
"Lena Creighton","Plantronics HL10 Handset Lifter","125.2692","null"
"Lena Creighton","Logitech Wireless Performance Mouse MX for PC and Mac","37.9962","null"
"Ben Peterman","Avery Hole Reinforcements","7.2268","null"
"Ben Peterman","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","22.9488","null"
"Brian DeCherney","Global Value Mid-Back Manager's Chair, Gray","12.178","null"
"Skye Norling","Newell 333","5.0596","null"
"Erica Hernandez","Xerox 1881","9.9468","Yes"
"Maurice Satty","Avery Durable Slant Ring Binders With Label Holder","-4.598","null"
"Maurice Satty","Round Ring Binders","-3.3488","null"
"Maurice Satty","Micropad Numeric Keypads","1.999","null"
"Don Weiss","Belkin 8 Outlet SurgeMaster II Gold Surge Protector","33.5888","null"
"Don Weiss","Sterilite Officeware Hinged File Box","8.4888","null"
"Don Weiss","Avery Printable Repositionable Plastic Tabs","2.322","null"
"Craig Yedwab","Nokia Lumia 521 (T-Mobile)","7.1976","null"
"Craig Yedwab","Avery 488","1.512","null"
"Naresj Patel","Stanley Contemporary Battery Pencil Sharpeners","33.642","Yes"
"Naresj Patel","AT&T 1080 Corded phone","19.1786","Yes"
"Noel Staavos","Hon 4060 Series Tables","11.196","Yes"
"Paul Van Hugh","Newell 326","2.0416","null"
"Paul Van Hugh","GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs","4.1031","null"
"Paul Van Hugh","Logitech ClearChat Comfort/USB Headset H390","9.6657","null"
"Paul Van Hugh","Newell 346","2.5056","null"
"Neoma Murray","Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4","11.2308","Yes"
"Russell Applegate","Binding Machine Supplies","16.3352","Yes"
"Russell Applegate","Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order","-12.6882","Yes"
"Russell Applegate","Logitech Illuminated - Keyboard","57.5904","Yes"
"Dionis Lloyd","Self-Adhesive Removable Labels","3.024","null"
"Greg Guthrie","Xerox 216","9.3312","null"
"Arthur Prichep","Luxo Professional Combination Clamp-On Lamps","53.196","null"
"Arthur Prichep","Stockwell Push Pins","2.8776","null"
"Arthur Prichep","Xerox 223","3.1104","null"
"Arthur Prichep","Star Micronics TSP800 TSP847IIU Receipt Printer","223.054","null"
"Arthur Prichep","Fellowes Mobile File Cart, Black","16.7886","null"
"Kelly Lampkin","Crayola Anti Dust Chalk, 12/Pack","1.638","null"
"Kelly Lampkin","Lock-Up Easel 'Spel-Binder'","53.9217","null"
"George Bell","Hon Deluxe Fabric Upholstered Stacking Chairs","19.5184","null"
"Larry Tron","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","15.6426","Yes"
"Kelly Collister","Logitech K350 2.4Ghz Wireless Keyboard","49.2723","null"
"Allen Armold","ACCOHIDE Binder by Acco","5.5755","null"
"Alyssa Tate","Staples","5.4332","null"
"Harold Ryan","Peel & Stick Add-On Corner Pockets","4.2336","Yes"
"Harold Ryan","Carina 42""Hx23 3/4""W Media Storage Unit","9.7176","Yes"
"Harold Ryan","Xerox 220","12.4416","Yes"
"Harold Ryan","Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16","53.3466","Yes"
"Bradley Talbott","Kensington 6 Outlet Guardian Standard Surge Protector","22.1184","Yes"
"Bradley Talbott","Toshiba IPT2010-SD IP Telephone","66.7152","Yes"
"Bradley Talbott","GuestStacker Chair with Chrome Finish Legs","89.2224","Yes"
"Bradley Talbott","Xerox 1908","109.7208","Yes"
"Bradley Talbott","Xerox 1924","11.3288","Yes"
"Linda Southworth","Hon GuestStacker Chair","40.8006","Yes"
"Linda Southworth","Round Ring Binders","-1.4352","Yes"
"Linda Southworth","Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms","10.6794","Yes"
"Linda Southworth","Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish","0","Yes"
"Linda Southworth","Fellowes Strictly Business Drawer File, Letter/Legal Size","-33.804","Yes"
"Ben Ferrer","Fellowes Super Stor/Drawer","44.955","null"
"Ben Ferrer","GE DSL Phone Line Filter","28.7928","null"
"Zuschuss Carroll","#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes","7.4872","null"
